persona,pattern,pattern_def,thought,scenario,persona_in_scenario,thought_in_scenario
i love comic books . i am 8 years old . my favorite hero is superman . i want to grow up to be a superhero one day . my name is todd .,Jumping to conclusions: mind reading,"Inferring a person's possible or probable (usually negative) thoughts from their behavior and nonverbal communication; taking precautions against the worst suspected case without asking the person.
",I love comic books and all my friends know that. They probably think i'm weird though because i spend all my money on comics.,"i love comic books . i am 8 years old . my favorite hero is superman . i want to grow up to be a superhero one day . my name is todd . I often revisit these ideas. I love comic books and all my friends know that. They probably think i'm weird though because i spend all my money on comics. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
i love to go to the symphony orchestra . i love to read the bible before i go to bed . i favorite brand of clothing is donna karen . i'm an middle school teacher for 8th grade .,Mental filtering,Filtering distortions occur when an individual dwells only on the negative details of a situation and filters out the positive aspects.,"I love to go to the symphony orchestra, but I'll miss their next show. My life is ruined","i love to go to the symphony orchestra . i love to read the bible before i go to bed . i favorite brand of clothing is donna karen . i'm an middle school teacher for 8th grade . These are the things that run through my mind on quiet days. I love to go to the symphony orchestra, but I'll miss their next show. My life is ruined I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
i like sports . my favorite band is rise against . i usually go to bed late . my favorite team is the raptors . i am studying to be a dentist .,Labeling and mislabeling,"A form of overgeneralization; attributing a person's actions to their character instead of to an attribute. Rather than assuming the behaviour to be accidental or otherwise extrinsic, one assigns a label to someone or something that is based on the inferred character of that person or thing.",I messed up the labeling for my dentist test today. I am a mediocre student.,"i like sports . my favorite band is rise against . i usually go to bed late . my favorite team is the raptors . i am studying to be a dentist . I find myself reflecting on these traits quite often. I messed up the labeling for my dentist test today. I am a mediocre student. It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
"i love chocolate . i have six older sisters . i'm an avid fan of the boston celtics . i work for a small , family owned restaurant . i love walking in the park .",Labeling and mislabeling,"A form of overgeneralization; attributing a person's actions to their character instead of to an attribute. Rather than assuming the behaviour to be accidental or otherwise extrinsic, one assigns a label to someone or something that is based on the inferred character of that person or thing.","I have six older sisters that are more successful, I'm a useless daughter.","i love chocolate . i have six older sisters . i'm an avid fan of the boston celtics . i work for a small , family owned restaurant . i love walking in the park . It's something I think about regularly. I have six older sisters that are more successful, I'm a useless daughter. These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
i work at a museum . i like to go to the park . i am stuck in a wheel chair . i read a lot . i don t have a lot of friends .,Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.","I have a hard time making friends, so I will die alone and miserable.","i work at a museum . i like to go to the park . i am stuck in a wheel chair . i read a lot . i don t have a lot of friends . It's funny how these things come to mind every now and then. I have a hard time making friends, so I will die alone and miserable. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
i love to read the bible before i go to bed . i favorite brand of clothing is donna karen . i sing in the church choir every sunday . i am an middle school teacher for 8th grade .,Should statements,"Expecting the world to be different than it is, demanding particular achievements or behaviors regardless of the realistic circumstances of the situation.","My students didn't appreciate my lesson plan for this morning's class, but they should be thanking me for putting so much effort into their education.","i love to read the bible before i go to bed . i favorite brand of clothing is donna karen . i sing in the church choir every sunday . i am an middle school teacher for 8th grade . I often revisit these ideas. My students didn't appreciate my lesson plan for this morning's class, but they should be thanking me for putting so much effort into their education. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
"i love hiking and staying fit . i work as a personal trainer , 5 days a week . my name is dave . i go fishing on the weekends to relax . i live in las vegas , nevada .",Personalization,Personalization is assigning personal blame disproportionate to the level of control a person realistically has in a given situation.,"To be a model trainer I really should be working out 3 times a day, 7 days a week.","i love hiking and staying fit . i work as a personal trainer , 5 days a week . my name is dave . i go fishing on the weekends to relax . i live in las vegas , nevada . These are the things that run through my mind on quiet days. To be a model trainer I really should be working out 3 times a day, 7 days a week. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
"i'm currently looking for employment . i can speak three languages english , french and spanish . i'm a mother of two . i'm colour blind .",Jumping to conclusions: Fortune-telling,Predicting outcomes (usually negative) of events.,"I can't see color at all, I won't be able to see the flowers colors, so what's the point?","i'm currently looking for employment . i can speak three languages english , french and spanish . i'm a mother of two . i'm colour blind . I find myself reflecting on these traits quite often. I can't see color at all, I won't be able to see the flowers colors, so what's the point? It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
i'm from seattle . my parents raised me as a buddhist . i work in public relations . i am a vegan . my favorite band is bon over .,Overgeneralization,"Someone who overgeneralizes makes faulty generalizations from insufficient evidence. Even if something bad happens only once, it is expected to happen over and over again.",My wife overcooked the brussels sprouts she was making for dinner last night. She's never going to be a competent cook.,"i'm from seattle . my parents raised me as a buddhist . i work in public relations . i am a vegan . my favorite band is bon over . It's something I think about regularly. My wife overcooked the brussels sprouts she was making for dinner last night. She's never going to be a competent cook. These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
i'm applying for publishing jobs . my favorite color is green . my mother is a librarian . i used to wear glasses as a child . the only autographs i have ever wanted are from authors .,Personalization,Personalization is assigning personal blame disproportionate to the level of control a person realistically has in a given situation.,My eyesight will only get worse because I once wore glasses.,"i'm applying for publishing jobs . my favorite color is green . my mother is a librarian . i used to wear glasses as a child . the only autographs i have ever wanted are from authors . It's funny how these things come to mind every now and then. My eyesight will only get worse because I once wore glasses. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
everyday i go swimming at the y . my mom taught me how to play the cello . i collect stamps . my favorite color is blue . i love going to concerts on the weekend .,Black-and-white or polarized thinking / All or nothing thinking,"Looking at life in all-or-nothing categories. Either things are a success or a failure; either they are good or bad; there is no in-between, no good enough or partial success.",I'm a stamp collector but my collection will never be worth anything.,"everyday i go swimming at the y . my mom taught me how to play the cello . i collect stamps . my favorite color is blue . i love going to concerts on the weekend . I often revisit these ideas. I'm a stamp collector but my collection will never be worth anything. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
i'm an middle school teacher for 8th grade . i favorite brand of clothing is donna karen . i sing in the church choir every sunday . i love to go to the symphony orchestra . i love to read the bible before i go to bed .,Personalization,Personalization is assigning personal blame disproportionate to the level of control a person realistically has in a given situation.,"Some of my students failed my class, it's because I'm a bad teacher.","i'm an middle school teacher for 8th grade . i favorite brand of clothing is donna karen . i sing in the church choir every sunday . i love to go to the symphony orchestra . i love to read the bible before i go to bed . These are the things that run through my mind on quiet days. Some of my students failed my class, it's because I'm a bad teacher. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
i love honey . i enjoy talking to strangers . i want to live at the beach . my favorite animal is a monkey .,Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.","The stranger I talked to earlier was not too warm to me, he must hate my guts and want to kill me.","i love honey . i enjoy talking to strangers . i want to live at the beach . my favorite animal is a monkey . I find myself reflecting on these traits quite often. The stranger I talked to earlier was not too warm to me, he must hate my guts and want to kill me. It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
"i'm currently looking for employment . i can speak three languages english , french and spanish . i'm a mother of two . i'm colour blind .",Overgeneralization,"Someone who overgeneralizes makes faulty generalizations from insufficient evidence. Even if something bad happens only once, it is expected to happen over and over again.",The last hiring manager I met didn't give me a job offer. I'm never going to convince someone to hire me.,"i'm currently looking for employment . i can speak three languages english , french and spanish . i'm a mother of two . i'm colour blind . It's something I think about regularly. The last hiring manager I met didn't give me a job offer. I'm never going to convince someone to hire me. These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
"i've one sister . i love dogs , especially labradors . i'm traveling to paris this year for my vacation . i work in the pharmaceutical industry .",Overgeneralization,"Someone who overgeneralizes makes faulty generalizations from insufficient evidence. Even if something bad happens only once, it is expected to happen over and over again.","I love dogs, but they will probably turn on me and attack me someday.","i've one sister . i love dogs , especially labradors . i'm traveling to paris this year for my vacation . i work in the pharmaceutical industry . It's funny how these things come to mind every now and then. I love dogs, but they will probably turn on me and attack me someday. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
"i'm 49 , male and live in dublin , ireland . i really like cake and don't prefer vegetables . i am almost finished with my degree . i take care of my mother and father . i have one sister and a niece and nephew .",Overgeneralization,"Someone who overgeneralizes makes faulty generalizations from insufficient evidence. Even if something bad happens only once, it is expected to happen over and over again.","I'm only a couple of months away from finishing my degree, something is bound to come up and screw everything up for me.","i'm 49 , male and live in dublin , ireland . i really like cake and don't prefer vegetables . i am almost finished with my degree . i take care of my mother and father . i have one sister and a niece and nephew . I often revisit these ideas. I'm only a couple of months away from finishing my degree, something is bound to come up and screw everything up for me. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
my family and i go camping every month . i love to go horseback riding whenever i can . my favorite artist is justin bieber . i'm a mother of two beautiful boys .,Jumping to conclusions: mind reading,"Inferring a person's possible or probable (usually negative) thoughts from their behavior and nonverbal communication; taking precautions against the worst suspected case without asking the person.
",My horse didn't listen to me today. She must have decided she doesn't like me anymore.,"my family and i go camping every month . i love to go horseback riding whenever i can . my favorite artist is justin bieber . i'm a mother of two beautiful boys . These are the things that run through my mind on quiet days. My horse didn't listen to me today. She must have decided she doesn't like me anymore. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
i like to listen to country music . i work at a bar . i surf everyday . i can play piano . people say i can cook well .,Mental filtering,Filtering distortions occur when an individual dwells only on the negative details of a situation and filters out the positive aspects.,"Sure, working at a bar is fun but the drunk people really makes this job frustrating.","i like to listen to country music . i work at a bar . i surf everyday . i can play piano . people say i can cook well . I find myself reflecting on these traits quite often. Sure, working at a bar is fun but the drunk people really makes this job frustrating. It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
i love going to concerts on the weekend . i collect stamps . my favorite color is blue . my mom taught me how to play the cello .,Jumping to conclusions: mind reading,"Inferring a person's possible or probable (usually negative) thoughts from their behavior and nonverbal communication; taking precautions against the worst suspected case without asking the person.
","People don't like talking to me, probably because they think I'm a nerd because I play the cello","i love going to concerts on the weekend . i collect stamps . my favorite color is blue . my mom taught me how to play the cello . It's something I think about regularly. People don't like talking to me, probably because they think I'm a nerd because I play the cello These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
i still live at home . i love rpg computer games . i've a crush on my co worker . i need to use an inhaler sometimes . i play tabletop games with friends .,Jumping to conclusions: mind reading,"Inferring a person's possible or probable (usually negative) thoughts from their behavior and nonverbal communication; taking precautions against the worst suspected case without asking the person.
",My co worker doesn't smile to me. I am sure he hate me for not taking to him.,"i still live at home . i love rpg computer games . i've a crush on my co worker . i need to use an inhaler sometimes . i play tabletop games with friends . It's funny how these things come to mind every now and then. My co worker doesn't smile to me. I am sure he hate me for not taking to him. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
i love comic books . i want to grow up to be a superhero one day . my favorite hero is superman . my name is todd .,Personalization,Personalization is assigning personal blame disproportionate to the level of control a person realistically has in a given situation.,I failed to win an auction for a rare superman comic I was bidding for.  I'm a professional failure because I don't make enough money to outbid wealthy competitors.,"i love comic books . i want to grow up to be a superhero one day . my favorite hero is superman . my name is todd . I often revisit these ideas. I failed to win an auction for a rare superman comic I was bidding for.  I'm a professional failure because I don't make enough money to outbid wealthy competitors. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
i work as a vet . i like to ride my bike . i've 3 dogs and 2 cats . i am a 30 year old female . i'm a vegan .,Jumping to conclusions: mind reading,"Inferring a person's possible or probable (usually negative) thoughts from their behavior and nonverbal communication; taking precautions against the worst suspected case without asking the person.
",I called in sick a the veterinarian's office. I'm going to get fired and lose my license.,"i work as a vet . i like to ride my bike . i've 3 dogs and 2 cats . i am a 30 year old female . i'm a vegan . These are the things that run through my mind on quiet days. I called in sick a the veterinarian's office. I'm going to get fired and lose my license. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
i like sports . my favorite band is rise against . i usually go to bed late . my favorite team is the raptors . i am studying to be a dentist .,Should statements,"Expecting the world to be different than it is, demanding particular achievements or behaviors regardless of the realistic circumstances of the situation.","I usually go to bed late, I should be thought of as a night owl.","i like sports . my favorite band is rise against . i usually go to bed late . my favorite team is the raptors . i am studying to be a dentist . I find myself reflecting on these traits quite often. I usually go to bed late, I should be thought of as a night owl. It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
i sing in the church choir . i've three kids . i am a truck driver in the south . i love hot wings .,Jumping to conclusions: mind reading,"Inferring a person's possible or probable (usually negative) thoughts from their behavior and nonverbal communication; taking precautions against the worst suspected case without asking the person.
","I was not invited to the church choir meeting, they must hate my singing.","i sing in the church choir . i've three kids . i am a truck driver in the south . i love hot wings . It's something I think about regularly. I was not invited to the church choir meeting, they must hate my singing. These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
my mother is dead . pink is my favorite color . i am a yoga instructor . i married my highschool sweetheart . i enjoy being alone .,Jumping to conclusions: Fortune-telling,Predicting outcomes (usually negative) of events.,"My mother is dead, my entire life is ruined now","my mother is dead . pink is my favorite color . i am a yoga instructor . i married my highschool sweetheart . i enjoy being alone . It's funny how these things come to mind every now and then. My mother is dead, my entire life is ruined now It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
i enjoy reading history books . i love to dance . i grew up in new hampshire . my favorite food is mexican .,Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.",I love to dance but i always worry that i will trip fall and break my neck and end up paralyzed,"i enjoy reading history books . i love to dance . i grew up in new hampshire . my favorite food is mexican . I often revisit these ideas. I love to dance but i always worry that i will trip fall and break my neck and end up paralyzed It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
i like to hike . i'm the youngest of 4 children . i graduated from college . i lost my arm in a car accident .,Jumping to conclusions: Fortune-telling,Predicting outcomes (usually negative) of events.,"I want to try this new tough hiking trail I've heard about, but I probably won't ever be able to finish it.","i like to hike . i'm the youngest of 4 children . i graduated from college . i lost my arm in a car accident . These are the things that run through my mind on quiet days. I want to try this new tough hiking trail I've heard about, but I probably won't ever be able to finish it. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
i love to play league of legends . i occasionally go for walks down by the park . i love dogs . i'm currently single but i'm ready to mingle .,Jumping to conclusions: mind reading,"Inferring a person's possible or probable (usually negative) thoughts from their behavior and nonverbal communication; taking precautions against the worst suspected case without asking the person.
","While mingling and looking for a date, I told someone that I play League of Legends and they did not say anything. I', sure they think I'm a looser who lives in my parent's basement.","i love to play league of legends . i occasionally go for walks down by the park . i love dogs . i'm currently single but i'm ready to mingle . I find myself reflecting on these traits quite often. While mingling and looking for a date, I told someone that I play League of Legends and they did not say anything. I', sure they think I'm a looser who lives in my parent's basement. It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
i like to cook . i worked as a nurse for many years . my husband was a salesman . i have lived in several different states .,Jumping to conclusions: mind reading,"Inferring a person's possible or probable (usually negative) thoughts from their behavior and nonverbal communication; taking precautions against the worst suspected case without asking the person.
","I worked as a nurse for many years and one of my patients never thanked me, she probably hated my guts.","i like to cook . i worked as a nurse for many years . my husband was a salesman . i have lived in several different states . It's something I think about regularly. I worked as a nurse for many years and one of my patients never thanked me, she probably hated my guts. These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
"once a year , i take a week off and head to florida . i was diagnosed with mild ocd in college . i freeze up in social situations . sometimes i feel like i ve already been through life once before . i work as a freelance accountant .",Mental filtering,Filtering distortions occur when an individual dwells only on the negative details of a situation and filters out the positive aspects.,"I like to go to parties, but I freeze up in social situations.  I doubt I will ever form long-standing relationships.","once a year , i take a week off and head to florida . i was diagnosed with mild ocd in college . i freeze up in social situations . sometimes i feel like i ve already been through life once before . i work as a freelance accountant . It's funny how these things come to mind every now and then. I like to go to parties, but I freeze up in social situations.  I doubt I will ever form long-standing relationships. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
i like to listen to country music . i work at a bar . i surf everyday . i can play piano . people say i can cook well .,Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.","I surf every day, but I'm sure I will get stuck under the waves and die at some point.","i like to listen to country music . i work at a bar . i surf everyday . i can play piano . people say i can cook well . I often revisit these ideas. I surf every day, but I'm sure I will get stuck under the waves and die at some point. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
i own a dog that is small . i like to play football . i've beard that is longer . i like to ride my bike .,Labeling and mislabeling,"A form of overgeneralization; attributing a person's actions to their character instead of to an attribute. Rather than assuming the behaviour to be accidental or otherwise extrinsic, one assigns a label to someone or something that is based on the inferred character of that person or thing.",I own a small dog probably because I couldn't handle a large dog.,"i own a dog that is small . i like to play football . i've beard that is longer . i like to ride my bike . These are the things that run through my mind on quiet days. I own a small dog probably because I couldn't handle a large dog. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
i love comic books . i am 8 years old . my favorite hero is superman . i want to grow up to be a superhero one day . my name is todd .,Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.",I love comic books but I think my entire collection will be destroyed in a house fire.,"i love comic books . i am 8 years old . my favorite hero is superman . i want to grow up to be a superhero one day . my name is todd . I find myself reflecting on these traits quite often. I love comic books but I think my entire collection will be destroyed in a house fire. It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
penn teller are my favorite magicians . my two dogs are the best friends a girl could have . i want to be an astronaut when i grow up . i've a poster of neil tyson degrasse on my wall .,Jumping to conclusions: mind reading,"Inferring a person's possible or probable (usually negative) thoughts from their behavior and nonverbal communication; taking precautions against the worst suspected case without asking the person.
",My two dogs are the best friends I could have but will probably run away soon.,"penn teller are my favorite magicians . my two dogs are the best friends a girl could have . i want to be an astronaut when i grow up . i've a poster of neil tyson degrasse on my wall . It's something I think about regularly. My two dogs are the best friends I could have but will probably run away soon. These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
i work in a warehouse . i have a very tone body . my son is a straight a student . i've a collection of video games . my wife and i enjoy long sunday drives .,Labeling and mislabeling,"A form of overgeneralization; attributing a person's actions to their character instead of to an attribute. Rather than assuming the behaviour to be accidental or otherwise extrinsic, one assigns a label to someone or something that is based on the inferred character of that person or thing.","I work in a warehouse but did not stack the boxes properly, I am a useless forklift driver.","i work in a warehouse . i have a very tone body . my son is a straight a student . i've a collection of video games . my wife and i enjoy long sunday drives . It's funny how these things come to mind every now and then. I work in a warehouse but did not stack the boxes properly, I am a useless forklift driver. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
"winter is my favorite season . i do not like wearing a swimsuit . if i cannot order it on the internet , i don't need it . my parents are lawyers .",Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.","Winter is my favorite season but I know if I go outside too long, I'll get frostbite.","winter is my favorite season . i do not like wearing a swimsuit . if i cannot order it on the internet , i don't need it . my parents are lawyers . I often revisit these ideas. Winter is my favorite season but I know if I go outside too long, I'll get frostbite. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
i go surfing any chance i get . i earn passive income that no one knows about . i could never be locked down to one partner . my dreams are often bizarre . my favorite band is the muggers .,Jumping to conclusions: Fortune-telling,Predicting outcomes (usually negative) of events.,"I wiped out while surfing, I am never going to learn the bigger waves.","i go surfing any chance i get . i earn passive income that no one knows about . i could never be locked down to one partner . my dreams are often bizarre . my favorite band is the muggers . These are the things that run through my mind on quiet days. I wiped out while surfing, I am never going to learn the bigger waves. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
"i'm a barista . i can speak arabic , english , and french . my family is from algeria . i play jazz piano in a band . i like to go hiking on the weekends .",Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.",I play jazz piano in a band. I don't get better and last time I ruined the show,"i'm a barista . i can speak arabic , english , and french . my family is from algeria . i play jazz piano in a band . i like to go hiking on the weekends . I find myself reflecting on these traits quite often. I play jazz piano in a band. I don't get better and last time I ruined the show It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
"my parents are lawyers . winter is my favorite season . i don't like wearing a swimsuit . if i cannot order it on the internet , i do not need it .",Personalization,Personalization is assigning personal blame disproportionate to the level of control a person realistically has in a given situation.,Both of my parents lost one of her cases they have been working on. I'm sure it's because I'm a bad son.,"my parents are lawyers . winter is my favorite season . i don't like wearing a swimsuit . if i cannot order it on the internet , i do not need it . It's something I think about regularly. Both of my parents lost one of her cases they have been working on. I'm sure it's because I'm a bad son. These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
"i teach 5th grade students near oakville , ny . i enjoy watching tennis and golf on tv . i love to read and relax by the lake on the weekends . i am a school teacher . my name is sarah .",Should statements,"Expecting the world to be different than it is, demanding particular achievements or behaviors regardless of the realistic circumstances of the situation.",I am a school teacher of 5th graders. They should be more grateful for how much work I put in to teaching them.,"i teach 5th grade students near oakville , ny . i enjoy watching tennis and golf on tv . i love to read and relax by the lake on the weekends . i am a school teacher . my name is sarah . It's funny how these things come to mind every now and then. I am a school teacher of 5th graders. They should be more grateful for how much work I put in to teaching them. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
pizza is my favorite food . my favorite hobby is reading suspense novels . my mom is a cancer survivor . my favorite subject in school was science .,Mental filtering,Filtering distortions occur when an individual dwells only on the negative details of a situation and filters out the positive aspects.,The pizza I ordered is ruined. Sure it was very tasty and was cooked to perfection but there was a tiny bit of ham in it.,"pizza is my favorite food . my favorite hobby is reading suspense novels . my mom is a cancer survivor . my favorite subject in school was science . I often revisit these ideas. The pizza I ordered is ruined. Sure it was very tasty and was cooked to perfection but there was a tiny bit of ham in it. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
my favorite thing to do is to read books on the beach . i am a vegetarian . i love pandas . i'm starting a new juicing bar . i love to surf .,Jumping to conclusions: mind reading,"Inferring a person's possible or probable (usually negative) thoughts from their behavior and nonverbal communication; taking precautions against the worst suspected case without asking the person.
",My surfing partner stopped surfing with me. He must think I am too bad at surfing.,"my favorite thing to do is to read books on the beach . i am a vegetarian . i love pandas . i'm starting a new juicing bar . i love to surf . These are the things that run through my mind on quiet days. My surfing partner stopped surfing with me. He must think I am too bad at surfing. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
grandma makes jewelry . i sing in the school chorus . i live with my paps and grandma . paps likes to go mushroom hunting . i've a brown belt in karate .,Mental filtering,Filtering distortions occur when an individual dwells only on the negative details of a situation and filters out the positive aspects.,"I sing in the school chorus. Many people laugh at people in school activities like this,","grandma makes jewelry . i sing in the school chorus . i live with my paps and grandma . paps likes to go mushroom hunting . i've a brown belt in karate . I find myself reflecting on these traits quite often. I sing in the school chorus. Many people laugh at people in school activities like this, It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
my favorite actor is robert deniro . i like to surf every chance i get . i m saving for college . i love the snow . i work graveyard in a hotel .,Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.",I don't have any social life because I work the graveyard shift for my job. I'm going to end up old and alone forever and be miserable.,"my favorite actor is robert deniro . i like to surf every chance i get . i m saving for college . i love the snow . i work graveyard in a hotel . It's something I think about regularly. I don't have any social life because I work the graveyard shift for my job. I'm going to end up old and alone forever and be miserable. These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
but i m a frustrated driver . i'm a mother of 2 daughters . i m a people person . i love adventures like mountain climbing . my husband works at a telecom .,Jumping to conclusions: Fortune-telling,Predicting outcomes (usually negative) of events.,If I don?™t fix my road rage my husband will leave me.,"but i m a frustrated driver . i'm a mother of 2 daughters . i m a people person . i love adventures like mountain climbing . my husband works at a telecom . It's funny how these things come to mind every now and then. If I don?™t fix my road rage my husband will leave me. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
my husband is an author and we have twins together . my favorite hobby is reading . i was born in france and moved to canada . my favorite author is stephen king . i'm a digital artist .,Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.",I can't meet my favorite author today so my life is probably over.,"my husband is an author and we have twins together . my favorite hobby is reading . i was born in france and moved to canada . my favorite author is stephen king . i'm a digital artist . I often revisit these ideas. I can't meet my favorite author today so my life is probably over. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
i m a cat person . i ve been divorced for 2 years . my grandmother lives in my guesthouse . i work at the local bank .,Black-and-white or polarized thinking / All or nothing thinking,"Looking at life in all-or-nothing categories. Either things are a success or a failure; either they are good or bad; there is no in-between, no good enough or partial success.","I work at the local bank and have always performed above expectations. However, I was given a 'met expectations' evaluation yesterday. I guess I'm just terrible at my job.","i m a cat person . i ve been divorced for 2 years . my grandmother lives in my guesthouse . i work at the local bank . These are the things that run through my mind on quiet days. I work at the local bank and have always performed above expectations. However, I was given a 'met expectations' evaluation yesterday. I guess I'm just terrible at my job. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
i am currently on a diet . i would like to go to school to become a veterinarian . i love animals and i want to help them . i love going to the gym .,Jumping to conclusions: mind reading,"Inferring a person's possible or probable (usually negative) thoughts from their behavior and nonverbal communication; taking precautions against the worst suspected case without asking the person.
",People at the gym are giving me strange looks. I am sure it's because I am yelling after each rep.,"i am currently on a diet . i would like to go to school to become a veterinarian . i love animals and i want to help them . i love going to the gym . I find myself reflecting on these traits quite often. People at the gym are giving me strange looks. I am sure it's because I am yelling after each rep. It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
"my prized possession is a bowie knife . i lift weights , but i never do squats . i like to watch mma . i drink protein powder with nothing but water . i m entering the police academy this summer .",Personalization,Personalization is assigning personal blame disproportionate to the level of control a person realistically has in a given situation.,"Even though I've been lifting weights, I bet I will fail miserably at police academy this summer and won't ever be able to become an officer.","my prized possession is a bowie knife . i lift weights , but i never do squats . i like to watch mma . i drink protein powder with nothing but water . i m entering the police academy this summer . It's something I think about regularly. Even though I've been lifting weights, I bet I will fail miserably at police academy this summer and won't ever be able to become an officer. These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
i am a registered nurse . my favorite movie is pretty woman . i enjoy reading . i'm a vegan . i've two smartphones .,Black-and-white or polarized thinking / All or nothing thinking,"Looking at life in all-or-nothing categories. Either things are a success or a failure; either they are good or bad; there is no in-between, no good enough or partial success.","I watched pretty woman with friends, but one friend couldn't make to join us, our movie night was a failure.","i am a registered nurse . my favorite movie is pretty woman . i enjoy reading . i'm a vegan . i've two smartphones . It's funny how these things come to mind every now and then. I watched pretty woman with friends, but one friend couldn't make to join us, our movie night was a failure. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
