Num,Scenario,Thought,Label
1221,"I feel that Ir colleagues at work work very hard every day, which brings I pressure.",He is so amazing. I want to catch up with him and learn from him. I also want to work hard to find my own value.,No Distortion
1222,"I only have 200 yuan for living expenses per week. Ir classmates are eating all kinds of snacks, but I don’t.",How can I solve the problem of not having money? There is no way to solve it. It's all because of my family. It's not that my efforts will help.,Mind Reading
1223,"I are on a diet, but I secretly eat a cookie and I regret it very much.",My mother would be very disappointed in me if she knew.,No Distortion
1224,"I are on a diet, but I secretly eat a cookie and I regret it very much.",I am a pig. I can't even control my eating. I deserve to be fat. I am a tragedy. I will never be in good shape.,Fortune-telling
1225,I suddenly find Irself in a situation where Ir home has been robbed.,"If my family knew about this, they would definitely blame me for not locking the doors and windows properly. I can't count on them at this time.",Mind Reading
1226,"I and Ir roommates have very different living habits, and conflicts arise over trivial matters in daily life","There are so many roommates in the dormitory, but he is the only one who goes against me all the time. He probably does that because he looks down on me.",Mind Reading
1227,I are walking on the road and a truck comes and splashes water all over I.,I'm such an unlucky guy. I always encounter all kinds of bad luck. There's no hope for me.,Labeling
1228,Ir father passed away and I are very sad.,I'm in a state of self-despair and loneliness. It's too painful. Should I seek help?,Emotional Reasoning
1229,Ir parents interfere too much in Ir life and often ask I about what I have been doing recently.,"I feel like I'm living in hell, tortured by the constant chattering every day",Overgeneralization
1230,The epidemic has come and Ir cake shop has gone bankrupt,"There are so many shops open on this street, but mine has closed down. I am so unlucky. Nothing good can happen to me.",Emotional Reasoning
1231,"When Ir menstrual period comes, I feel dysmenorrhea.",It really hurts. Being a girl is really a torture.,Labeling
1232,"I had a big fight with Ir parents, and they were very sad afterwards, and I felt very guilty.",I can't handle this. I can't handle this.,All-or-nothing thinking
1233,A complex experiment was completed but the data is abnormal,"I've done it so many times, I'm sure I can't find the reason. I'm going to tell my instructor tomorrow, I just can't do it.",Fortune-telling
1234,"It’s Chinese New Year, and at the New Year’s Eve dinner, people of Ir generation are performing their talents, but I can only eat in silence.",Why am I so unlucky? I can't do anything right and I can't accomplish anything! I am the biggest failure in the world!,All-or-nothing thinking
1235,"I recently broke a bone, and every time I have to ask Ir friends to accompany I downstairs and take I to class.",My leg was broken and I thought I would never be able to walk again and I lost my ability to be free.,Overgeneralization
1236,"When someone says I look unhappy, it's as if they owe I money.",Eh? Do I look so bitter? Maybe I've been staying up too late lately. I need to make some adjustments.,No Distortion
1237,"I remarried, and Ir two stepchildren refused to call I ""Dad"", saying that I were not their father at all and refused to be disciplined by him.",It's so frustrating. What should I do if they don't obey me?,No Distortion
1238,"The husband thinks his wife is wasting money by buying clothes every week, and the wife thinks her husband gives too much money to his family.","Neither of us has a particularly high salary, and since we all have different opinions, we might as well plan and allocate it well.",No Distortion
1239,"I had a big fight with Ir parents, and they were very sad afterwards, and I felt very guilty.","They will definitely not want me anymore, and I will be alone and helpless because I have hurt them so deeply.",Mind Reading
1240,Suddenly I'm walking outside and realize Ir clothes are on inside out.,"It's all because I'm too poor. It's my first time wearing such high-end fashion, and I can't even wear the right clothes. Poor people like me should just wear work clothes.",Personalization
1241,Ir mother is pregnant with another child and cannot take care of I,My mother hasn't taken care of me since she got pregnant. I'm so sad. I should have stopped that little life from coming so that my mother could focus on taking care of me.,Emotional Reasoning
1242,"The husband thinks his wife is wasting money by buying clothes every week, and the wife thinks her husband gives too much money to his family.","I am so useless. My family raised me with great difficulty, but I can't even give back a little money. I have always been controlled by a woman. I am so ashamed.",All-or-nothing thinking
1243,I have always lived in a family with relatively poor economic conditions and Ir parents do not have a high income.,I feel that my life is very pitiful compared to others. I don’t want to live this kind of life anymore. I want to escape from this home.,Overgeneralization
1244,I bought a bag of duck necks and Ir throat got stuck while eating them.,"Oh, what bad luck! The food got stuck in my mouth just after I took a bite.",No Distortion
1245,"The husband thinks his wife is wasting money by buying clothes every week, and the wife thinks her husband gives too much money to his family.","Every time I missed a task, I always attributed it to my own mismanagement. Responsibility followed me like a shadow, and I couldn't let it go.",Personalization
1246,"I only have 500 yuan for living expenses per week. Ir classmates are eating all kinds of snacks, but I don’t.","500 yuan is 2,000 yuan a month, which is not bad and enough for my daily expenses.",No Distortion
1247,"Recently, I feel dizzy when I stand up, and feel light-headed.",I am so miserable and no one comes to comfort me. I am destined to be alone and no one cares about me.,Personalization
1248,"I forgot to bring Ir homework, so the teacher punished I by making I go to the back of the class.",The teacher was targeting me. Not bringing homework was just a reason for him to punish me.,Mind Reading
1249,I recently found the mistress’s WeChat in Ir father’s phone.,"Dad, since you have done something disgusting, don't blame me for using this to disgust you.",No Distortion
1250,"I are on a diet, but I secretly eat a cookie and I regret it very much.","I lost so much weight with so much effort, and I can't help but blame myself for eating snacks",Personalization
1251,I have always lived in a family with relatively poor economic conditions and Ir parents do not have a high income.,How can I change the current situation at home?,No Distortion
1252,"I feel like I have a good relationship with Ir roommates every day, but I just can't fit in.","Even though we live together, the distance between us seems to span the Milky Way. I feel so lonely. It seems that I am not suitable to get along with others.",Overgeneralization
1253,"Ir superior has assigned I a workload that far exceeds Ir expectations, and I feel too tired.","This boss is really biased! My colleagues are all doing their jobs, why do they give me so little?",Mind Reading
1254,"Unfortunately, I've been feeling very uncomfortable lately, but the specific illness hasn't been identified yet.","It’s all my fault that I didn’t explain my symptoms clearly to the doctor. I didn’t even know how to describe my condition, so they haven’t diagnosed my illness yet.",Personalization
1255,"I thought I would definitely get a scholarship, but unfortunately it was not awarded.","I performed so well, why didn’t I get in? The teacher must have deliberately targeted me and eliminated my place.",Fortune-telling
1256,"I eat with Ir friend every day, and suddenly one day she doesn't come to eat with I.",She won't eat with me anymore. I'll be alone from now on.,Overgeneralization
1257,"I feel hungry while walking on the street, but there is no restaurant around.",It's all my fault for having such bad eyesight. I should have chosen a different road. Why did I go this way? I'm such a fool!,Labeling
1258,"I recently broke a bone, and every time I have to ask Ir friends to accompany I downstairs and take I to class.","My friend has been having a lot of headaches with me lately, and it's all because I shouldn't have forced him to go to class with me. I'm so pretentious and I make myself disgusting.",Personalization
1259,"I were preparing to run for president of the society. I prepared very hard and everyone around I thought I could be elected, but in the end, I unfortunately lost.",The feeling of losing an election is too painful. I am not suitable for running for election at all. It will only make me feel miserable.,All-or-nothing thinking
1260,"If I suddenly wake up at three in the morning and still feel very sleepy, Ir work tomorrow may be affected.",I’m so sleepy. I really don’t want to get up. Why do humans have to endure this kind of torture? It’s really uncomfortable to get up early.,Emotional Reasoning
1261,I have always lived in a family with relatively poor economic conditions and Ir parents do not have a high income.,"Every day I cry, waste time, and die inside. Because I am lonely. And pathetic.",Emotional Reasoning
1262,I are very fat and very plump.,"Although I am fat, I am healthy and happy, and that is enough.",No Distortion
1263,I recently got pregnant and are feeling miserable.,"Am I the only one who feels so bad? As his mother, I definitely did not take good care of him, and I will definitely not be able to take good care of him in the future.",Fortune-telling
1264,"When I were a child, someone molested I, and I've been feeling resentful about it ever since.",I shouldn't be afraid of this kind of behavior. It's not my fault and it shouldn't affect my life anymore after all these years.,No Distortion
1265,"The apartment I live in suddenly collapses, and I become homeless.","All the money is in the house. I am penniless now, with nothing and nowhere to go. I really want to just end it all.",All-or-nothing thinking
1266,"I feel that Ir colleagues at work work very hard every day, which brings I pressure.",The repressive atmosphere in China makes me feel very uncomfortable.,No Distortion
1267,"If I are a very introverted person, I have just arrived in a new environment and the people around I are relatively unfamiliar.","What a pity, there is always someone better than you, and there are many excellent classmates around me.",No Distortion
1268,One time I hear Ir boyfriend or girlfriend chatting with their best friend of the opposite sex.,"How dare he still have a lover? What does he think of me? One day he will break up with me, I am sure of it!",Fortune-telling
1269,Recently I feel that Ir height is not ideal.,I can't decide my height. I can't do anything about it. I can only accept it.,No Distortion
1270,Suddenly I'm walking outside and realize Ir clothes are on inside out.,I will definitely make this mistake again in the future. I just can't escape this shameful thing and I feel very ashamed.,Overgeneralization
1271,The sports meet is here and I broke Ir leg,I am such a loser. I broke my leg during a sports meet and made my classmates worry about me.,Labeling
1272,"Ir husband is dissatisfied with I, saying that I don't have to do anything every day and just rely on him for support.",I am powerless and can't do anything well. My empty brain can't produce any useful thoughts. I am like the most useless existence in this world.,Labeling
1273,I find Irself drifting away from Ir childhood dreams,"When I grow up, I realize that I have drifted away from my dreams, and even went against them. There are no adults in the world who can keep their original dreams.",Fortune-telling
1274,"I recently broke a bone, and every time I have to ask Ir friends to accompany I downstairs and take I to class.",It breaks my heart that the cause of my pain has become a burden to him.,Personalization
1275,"I want to have a grand wedding ceremony, but find that I don't have the money to pay the bride price.","I couldn’t even come up with the money for the bride price, and I felt like my life was a complete failure.",All-or-nothing thinking
1276,Feeling that I often cannot live up to Ir mother's expectations,"Parents all over the world are the same, they will never be satisfied",Emotional Reasoning
1277,"I woke up in the morning and wanted to sleep a little longer, but when I woke up I found that I was late.","Without even the most basic ability to manage time, what else can I do? I am completely useless. People like me don't deserve friends, let alone success.",All-or-nothing thinking
1278,"When I work with Ir colleagues, I feel that Ir burden is heavier and theirs is lighter.","I felt wronged, but I had to keep it to myself because I was afraid that my family would worry. I felt that my life was mediocre and my life was a mess.",All-or-nothing thinking
1279,"I made a vow when I was Ing that I would have a successful career and a happy family. But when I grew up, I found that I had to work overtime even if I earned 3k a month. I had to pay rent and living expenses every month, and my savings were very little.","Maybe I can try to find a better job, but I need to work hard for it.",No Distortion
1280,I got a cramp while swimming and feel a little sad.,The man who helped me ashore just now must have coveted my body. He must be a pervert. No one will be kind to me. I must stay away from him.,Mind Reading
1281,Today I discovered that Ir home computer is broken.,"It's all my fault, this is my retribution, no one will forgive me",Mind Reading
1282,I and Ir roommate often have conflicts recently,We are always like this because it is my fault and my personality is too unpleasant.,Personalization
1283,"I recently stayed out all night, and Ir father talked to I, and his words were somewhat excited and angry.",He has been displeased with me for a long time and has been looking for an opportunity to teach me a lesson. Today was simply an excuse.,Mind Reading
1284,"I have been working on a task, and I have made no progress this morning.",I haven't made any progress in half a day. Maybe I need to ask my colleagues how they do it.,No Distortion
1285,The elder who loved I the most unfortunately passed away,"He doesn't want to see me fall apart, I will live the way he wants me to live.",No Distortion
1286,Ir parents interfere too much in Ir life and often ask I about what I have been doing recently.,"Whatever I do is wrong, whatever I do they doubt me",Fortune-telling
1287,The takeaway order was stolen.,"The food was promptly removed without causing any problems, but I will be more careful next time. After all, good food should not come at the cost of your health.",No Distortion
1288,"If I suddenly wake up at three in the morning and still feel very sleepy, Ir work tomorrow may be affected.",My world is like this dark night with no end in sight,All-or-nothing thinking
1289,"I recently broke a bone, and every time I have to ask Ir friends to accompany I downstairs and take I to class.",My legs hurt so much and I have to go to class. I can't go by myself and I will have to disturb my friends. I am about to collapse. There is no way I can solve my problem.,Emotional Reasoning
1290,"Ir boss criticized I today, saying that I are not capable enough at work.",Maybe I did something wrong and I should realize and correct it.,No Distortion
1291,I and Ir roommate have been having frequent conflicts lately.,I will apologize and correct my mistakes.,No Distortion
1292,"When I work with Ir colleagues, I feel that Ir burden is heavier and theirs is lighter.","Does my boss dislike me? Otherwise, why would he assign so many tasks to me while other people are so idle?",Mind Reading
1293,"Today, the teacher assigned me a temporary, urgent and challenging task.","If this task is not completed perfectly, the teacher will never trust me again.",Fortune-telling
1294,Accidentally scalded by boiling water,I am a born unlucky person. I am unlucky no matter what I do.,Labeling
1295,Ir parents interfere too much in Ir life and often ask I about what I have been doing recently.,"I know you care about me, but this kind of love is really a bit heavy. I also need my own space, mom and dad.",No Distortion
1296,I joined a club but didn't make any friends or acquaintances.,"Club activities are a painful, time-wasting activity. I might as well do nothing.",Overgeneralization
1297,"I are full of interest in various campus activities, but I are also worried about failure.",What's wrong with failure? I have to try it anyway. What if I succeed?,No Distortion
1298,I discover that I are not Ir parents' biological child.,"I am so grateful to my adoptive parents. Without them, I wouldn't be who I am today! I am so lucky to have met such good people.",No Distortion
1299,"Ir colleague joined the company in the same year, and I feel that she always likes to put I down","Since I came to this company, I have been targeted by him like this, and I don’t know when it will end.",Overgeneralization
1300,"If I suddenly wake up at three in the morning and still feel very sleepy, Ir work tomorrow may be affected.",I didn't want to go out but as the nights got longer I started to feel sad and the transition from numbness to sadness was an overwhelming feeling for me.,Emotional Reasoning
1301,"When I were a child, someone molested I, and I've been feeling resentful about it ever since.",I will face this bravely and work harder to protect myself.,No Distortion
1302,No messages or calls for two weeks.,"No one really loves me, and no one really cares about my situation",Overgeneralization
1303,I recently got pregnant and are feeling miserable.,"I am not worthy of being a mother, I am not capable.",All-or-nothing thinking
1304,"Ir parents always compare I with other children, and I feel unhappy.",Am I too sensitive? Is this just a parental habit? I must be too fragile to handle this. I should be able to handle this criticism.,Personalization
1305,"I are working in another place, and suddenly a phone call comes in saying that Ir parents have passed away.","I am so sad that my beloved parents have left me. I have not fulfilled my responsibilities as a child, I have not taken good care of them, I am such a failure, I am sorry to my parents.",Personalization
1306,"Ir colleague doesn't pay much attention to what he says, often makes small talk and says unpleasant things.",He is a person with low emotional intelligence and never considers other people's feelings when speaking.,Labeling
1307,I are at the company and Xiao Zhang accidentally spills coffee all over I.,"Everyone makes mistakes sometimes, just be tolerant and it will pass.",No Distortion
1308,"I are on a diet, but I secretly eat a cookie and I regret it very much.","I am a person who gains weight easily but is difficult to lose weight, so it is very difficult for me to lose weight.",Labeling
1309,Suddenly I'm walking outside and realize Ir clothes are on inside out.,"It must be unlucky to be friends with me. You have to be distracted to take care of me, a moron like me who can even wear clothes backwards.",Labeling
1310,"The hotel I booked tells I that it is full, so obviously I didn't get the room.",Why am I so stupid? I can’t even do such a simple thing. How can I ever have a chance to succeed in the future?,Overgeneralization
1311,"My parents are almost 60 years old. They have been working in the fields for many years and are sick. Recently, they often say they are very tired.","In order to give my parents a good life, I will try my best to earn money to support them.",No Distortion
1312,I have been having insomnia lately.,Why can't I sleep? Something bad must have happened recently.,Fortune-telling
1313,I are devastated when Ir beloved puppy passes away.,"I lost the love of my life, my little dog, and the way I cared for him was completely wrong.",Personalization
1314,"After being admitted to a key high school from a second-rate junior high school, I find that Ir grades have dropped a lot.",What a crappy high school! I really can't stand it. I don't want to stay here for even a second.,Emotional Reasoning
1315,"People around I told others the secret that I liked a boy in the next class, and it even reached Ir ears.",She told others the secret that I like the boy in the next class. That boy will definitely be disgusted and hate me.,Mind Reading
1316,"I are a homosexual, I feel very depressed, and no one around I understands I.","I am an outsider, a monster, and even I can't stand myself like this.",Labeling
1317,"Unfortunately, I've been feeling very uncomfortable lately, but the specific illness hasn't been identified yet.",I must be seriously ill. I won't live long. It's so hard to live.,Fortune-telling
1318,"While walking on the road, a stray dog rushes up and bites I.","Oh, I have to go to the hospital for an injection right away, to make sure this dog doesn't get rabies.",No Distortion
1319,"I studied hard, expecting to do well on the test, but I just barely passed.","If studying hard can only get this result, then why bother studying? I might as well just go and work. Because I'm sure I won't get good grades no matter how hard I study.",Fortune-telling
1320,"In the heavy traffic, a car passed us.","License plate number xx, wow, no wonder, the people in their province are of poor quality and impatient. Forget it, I won't bother with him.",Overgeneralization
1321,"Because of the epidemic recently, Ir cake shop business is not very good.",I am a loser with no business sense. It was a mistake to open this store.,Labeling
1322,"I find it difficult to concentrate, Ir learning efficiency is low, and Ir mind is empty all day long",Let me take a break first and study again when I’m more efficient.,No Distortion
1323,No messages or calls for two weeks.,"I have no idea what has happened around me in the past two weeks. If this continues, I will soon be out of touch with the times.",Overgeneralization
1324,I did not progress the project assigned to I by Ir teacher as scheduled and were criticized by Ir teacher.,It’s not like I’m the only one who didn’t finish. I know the teacher hates me.,Mind Reading
1325,"I were preparing to run for president of the society. I prepared very hard and everyone around I thought I could be elected, but in the end, I unfortunately lost.",I am a person with nothing. I have paid so much but still was not elected as the chairman.,Labeling
1326,"My grades weren't improving, and my father would turn his face away and ignore me as soon as he saw me.","I know he means well, but his attitude still hurts me.",No Distortion
1327,The investment failed and I lost my savings,"The investment failed again. This time, there was a big problem with my vision. That company has no prospects at all. Alas, every time I invest, I fail.",Overgeneralization
1328,"I dream of marrying a prince charming, but in the end I only marry a husband I don’t like.","I will definitely be unhappy forever, there is no way to change this",Fortune-telling
1329,Recently I feel that Ir height is not ideal.,"Although I am not tall, but I am good-looking, so it is not a big problem",No Distortion
1330,The epidemic has come and Ir cake shop has gone bankrupt,"I am going to be unemployed and I won't be able to find a job in the future. In this situation, it is difficult to support myself.",Emotional Reasoning
1331,I suddenly find Irself in a situation where Ir home has been robbed.,"It's over, all my savings are gone, all these years have been wasted, it seems like I've wasted my life.",All-or-nothing thinking
1332,"We agreed to go out and play together, but I were stood up.",I am indeed the kind of person who can be abandoned at any time. No one cares about my feelings or my efforts at all.,Labeling
1333,"When I work with Ir colleagues, I feel that Ir burden is heavier and theirs is lighter.",It's not fair! Why do they treat me like this? They are targeting me and suppressing me. This is a crappy company. I can't stay here for even one more day.,All-or-nothing thinking
1334,"I thought I would definitely get a scholarship, but unfortunately it was not awarded.","I can’t even get a scholarship, so all my hard work is meaningless.",No Distortion
1335,"The company I worked for previously went bankrupt due to poor performance, so I have been out of work for half a year.",The company went bankrupt and I was left in a daze. I was indeed a person who only depended on the company for a position but did nothing.,Labeling
1336,"All Ir classmates have gone out and I are alone in the classroom, feeling a little lonely.","I wouldn't say I was truly alone, but the fact that I had been like this for so long made me feel hopeless about my future.",Fortune-telling
1337,"I see others hanging out together on the weekends, but no one invites I to hang out.",Are they out having fun? It seems like a good idea to have some fun on the weekend.,No Distortion
1338,I are devastated when Ir beloved puppy passes away.,I am a loser. I can't even raise a puppy. How can I support my family and raise my own children? I am useless.,Labeling
1339,"I are talking to someone and their cell phone rings, but they don't pick up.",He didn't answer the phone because he thought I had a bad personality and didn't dare to answer the phone,Mind Reading
1340,"I feel that studying is a bit difficult recently, and writing the paper is giving I a headache. The teacher has contacted I several times about the paper.","I don't have the ability to do scientific research, which has hindered the team's progress and always made my teacher unhappy. I'd better quit tactfully.",Personalization
1341,I are devastated when Ir beloved puppy passes away.,"If he had a choice, he would definitely not be willing to go home with me. I have betrayed the dog's trust in me.",Mind Reading
1342,"I see others hanging out together on the weekends, but no one invites I to hang out.",Is it because I always tell my friends that I am busy that they don't come to see me?,Personalization
1343,"We agreed to go out and play together, but I were stood up.",Why do I always get stood up every time I ask someone to go out and play with? It’s so annoying. It’s so hard to find someone to go out and play with!,Overgeneralization
1344,"When Ir colleagues evaluated Ir performance, I ranked last.","Anyway, my score is already so low. The first impression is very important. When I first came in, I didn't leave a good impression on the leader. All my future efforts will be in vain.",Emotional Reasoning
1345,"When I were a child, someone molested I, and I've been feeling resentful about it ever since.","After such a shameful thing happened, my family and I will never be able to hold our heads high in front of outsiders for the rest of our lives!",Fortune-telling
1346,"Unfortunately, I have been diagnosed with a mental illness.",I looked at my parents' tired faces and felt like a burden. I had added too much burden to the family.,Personalization
1347,I borrowed a pen from a classmate but he didn't return it.,"I want to ask him for the money but I can't bring myself to do it. If someone asks me to borrow something from me in the future, I shouldn't lend it to him, and I won't return it if I borrow it.",Emotional Reasoning
1348,"I thought I would definitely get a scholarship, but unfortunately it was not awarded.",I have been so unfortunate for so long. I am an unfortunate person.,Labeling
1349,The epidemic has lasted too long and made I feel depressed.,"There is no way the epidemic will be cured. Everyone will get sick eventually, including me.",Emotional Reasoning
1350,"The test results are out, and Ir credit score has dropped again. Ir counselor tells I that I may be expelled.","If I study hard from now on, I won't be expelled from school. I can't be like before.",No Distortion
1351,"I woke up in the morning and wanted to sleep a little longer, but when I woke up I found that I was late.","My mother didn't call me, she made me late on purpose",Mind Reading
1352,I are not a good-looking child and I feel a little inferior.,He didn't even dare look at me when he was talking to me today. He must have thought I was ugly and couldn't bear to look at me. I will never have any real friends.,Mind Reading
1353,I recently got pregnant and are feeling miserable.,"I am so miserable, my husband won't pity me",Fortune-telling
1354,I are the Ingest child in the family and I feel neglected by Ir parents.,"My older siblings were always so outstanding, and I always felt that I was overshadowed by them. Perhaps it was this inferiority that made my parents indifferent to me.",Personalization
1355,I are devastated when Ir beloved puppy passes away.,"I am in so much pain, I can't do anything, just let me lie like this, let me die with my puppy.",Emotional Reasoning
1356,I are pushed to the point of explosion by Ir family's cold violence and become uncontrollably hysterical.,"I have never been cared for at home, and this cold violence caused me to have a mental breakdown. I began to wonder if this family would be better if I just disappeared.",Emotional Reasoning
1357,"I eat with Ir friend every day, and suddenly one day she doesn't come to eat with I.","I had a small conflict with her the day before yesterday, and she won't look for me today.",Mind Reading
1358,"I worked hard doing housework, but Ir parents didn't see it.",I just deliberately ignore the little things I do. I'm speechless.,Mind Reading
1359,"I recently wanted to see Ir graduation photo, but I couldn't find it.",I am so sad and upset. I have lost the memory of my youth. Even this memory is suggesting that my youth will be forgotten by everyone.,Emotional Reasoning
1360,"I worked hard doing housework, but Ir parents didn't see it.",It's still my fault that my parents can't see it. I have disappointed them.,Personalization
1361,I got a cramp while swimming and feel a little sad.,What bad luck! It's not a pleasant feeling to get cramps while swimming. It really makes me depressed.,No Distortion
1362,I are very fat and very plump.,I am destined to remain fat for the rest of my life.,Fortune-telling
1363,I feel sad because Ir boss has decided to reduce the salaries of all of Ir employees.,"Although the salary has decreased, it is still fair to everyone. The company must have encountered difficulties. We will work together to overcome the difficulties and everything will be fine.",No Distortion
1364,"Without Ir care and supervision, the two children gradually developed behavioral problems and failed their schoolwork.","I don’t think I’m a qualified father, and my child’s current situation makes me feel that it’s all my fault.",Personalization
1365,I find that Ir roommate seems to be competing with I secretly.,I am a machine that can't handle relationships. Can someone come and save me?,Labeling
1366,I joined a club but didn't make any friends or acquaintances.,I have been in the club for so long and I haven't made even one friend. I will never have any friends in my life.,Overgeneralization
1367,"Recently, I feel dizzy when I stand up, and feel light-headed.",It's so uncomfortable. Being sick is so terrible. I don't want to be sick again. Injections are too painful. I will just take medicine instead of injections.,Emotional Reasoning
1368,I were recently scammed and the scammer took all Ir money.,You are a fool who never learns from your mistakes. You always get fooled.,Labeling
1369,I did not progress the project assigned to I by Ir teacher as scheduled and were criticized by Ir teacher.,I was constantly criticized. Everyone disliked me and tried to criticize me.,Overgeneralization
1370,Frequent overtime work makes I feel too uncomfortable.,Feeling like a loser because today I worked 2 hours when before I could have done 8 hours.,Labeling
1371,Recently I feel that Ir height is not ideal.,"My height won't grow any more anyway, so there's no point in feeling unsatisfactory. I might as well think about what to eat in the evening.",No Distortion
1372,Ir father passed away and I are very sad.,I had a very good relationship with my father. He was my favorite person since I was a child. I was very sad when he passed away.,No Distortion
1373,"When the epidemic comes, it is very uncomfortable for I to be infected.","If I get this disease, it will definitely not be cured and will leave me with very serious sequelae, which will kill me.",Emotional Reasoning
1374,"As a lawyer, I lose the case.","I lost the lawsuit, and my life was also lost. I failed.",All-or-nothing thinking
1375,"I eat with Ir friend every day, and suddenly one day she doesn't come to eat with I.",She didn't eat with me anymore. It's all my fault. I must have done something wrong.,Personalization
1376,"I only have 300 yuan for living expenses per week. Ir classmates are eating all kinds of snacks, but I don’t.",My roommate would definitely look down on me and think I’m a poor person if he saw that I couldn’t even afford snacks.,Fortune-telling
1377,"When someone says I look unhappy, it's as if they owe I money.","He said that on purpose, he just wanted to mess with my mentality",Mind Reading
1378,"I have a low income and Ir wife has a higher income, so I feel the pressure.","What does it mean that she works so hard to make money? She looks down on me, doesn’t she? She wants to get rid of me, doesn’t she?",Mind Reading
1379,"My parents are almost 60 years old. They have been working in the fields for many years and are sick. Recently, they often say they are very tired.","If you work too hard, you won't have time to spend with your parents, but if you don't work too hard, you won't be able to give your parents a good life. Work and family are two propositions that can never be balanced.",No Distortion
1380,"I made an appointment with a classmate to play basketball, but he didn't show up when the time came.","I don't think he's in trouble. If something happens to him on his way to see me, I'll feel so guilty.",Mind Reading
1381,"In order to improve his grades, I tutored him for a period of time. He got 70 points in the exam, but I are still not satisfied with this result.",I have high expectations for my children and I hope they can become better.,No Distortion
1382,"If I fail to complete Ir research project or publish an article, Ir teacher will criticize I.",The teacher just doesn't like me. He doesn't criticize others but only me.,Mind Reading
1383,Ir parents interfere too much in Ir life and often ask I about what I have been doing recently.,"My parents mean well, so I can only accept it.",No Distortion
1384,"For the past month or two, I have woken up with back pain at least once a week.",I couldn’t handle the prospect of people dying.,Fortune-telling
1385,"People around I told others the secret that I liked a boy from the next class, and the secret reached Ir ears.","Is she okay? She wouldn't like that boy too, so she told my secret on purpose, otherwise what good would it do her?",Mind Reading
1386,I was seen wearing earrings outside school on weekends by my class teacher,"If my homeroom teacher saw me wearing earrings, the image of a good child that I had previously established in front of her would definitely collapse, and I would not want to live anymore.",Overgeneralization
1387,"I recently wanted to see Ir graduation photo, but I couldn't find it.",My mind has been destroyed from the oldest memory I have (Part 1) I know it's only my fault,Personalization
1388,I bought a bag of duck necks and Ir throat got stuck while eating them.,"Damn, this world always trips me up. Is it really so hard to survive? Even Duck Neck wants me to die.",No Distortion
1389,I have been having insomnia lately.,"Just like my miserable life, I am indeed a useless person who has accomplished nothing.",All-or-nothing thinking
1390,"The husband thinks his wife is wasting money by buying clothes every week, and the wife thinks her husband gives too much money to his family.","You are just a fickle woman! Who are you trying to seduce by buying so many clothes every day and wearing them so fancy? If you don't know, you would think you go to nightclubs all day and change your mind every day!",Labeling
1391,I find out that I didn’t save the PPT I worked so hard on.,"How could any company dare to hire me? I would definitely be unemployed, starving and freezing to death. My life would be a joke.",Fortune-telling
1392,"I were forced to take nude photos, and I felt very uncomfortable but didn't dare to tell others.",I shouldn't have gone out alone at night. It was my fate to encounter this kind of thing!,Personalization
1393,"I only have 500 yuan for living expenses per week. Ir classmates are eating all kinds of snacks, but I don’t.","Seeing them eating snacks makes me a little greedy, but if they don’t want to eat them, then don’t eat them. I’ll just consider it as a way to lose weight.",No Distortion
1394,"Ir superior has assigned I a workload that far exceeds Ir expectations, and I feel too tired.",I can't do it anymore. I'm too tired. I have to report the situation to my superior. He is not unreasonable and should understand me.,No Distortion
1395,"If I suddenly wake up at three in the morning and still feel very sleepy, Ir work tomorrow may be affected.","Wherever I was, I felt alone and like a lost soul. I was sure that everyone was only concerned about themselves and that they didn't care about the pain I was feeling.",Emotional Reasoning
1396,Ir parents interfere too much in Ir life and often ask I about what I have been doing recently.,"I want to talk to them about this problem, but I guess they won't listen to me. So forget it, it's okay for me to be sad alone.",Fortune-telling
1397,"I feel that Ir colleagues at work work very hard every day, which brings I pressure.",Pressure will give me more motivation. I will continue to work hard.,No Distortion
1398,"Ir colleague joined the company in the same year, and I feel that she always likes to put I down","I was terrified, thinking that my colleagues would like her more and that she would steal my friends away.",Fortune-telling
1399,The takeaway order was stolen.,"How come the takeaway was stolen again?! Every time they steal it, they pick the right place! I am such a loser",Overgeneralization
1400,"I originally thought that I could be admitted to graduate school, but Ir name was not on the final list.","I didn't get into graduate school, and I couldn't pass the exam. My life is ruined.",Fortune-telling
1401,"When someone says I look unhappy, it's as if they owe I money.","He must have misunderstood my intentions, and I need to explain it to him.",No Distortion
1402,Ir parents interfere too much in Ir life and often ask I about what I have been doing recently.,I hate them telling me what to do. I am already an adult and I don't need them to restrict me in the name of love.,Emotional Reasoning
1403,"People around I told others the secret that I like the boy in the next class, and it even reached Ir ears.",They let me hear this on purpose just to make fun of me in person.,Mind Reading
1404,"I take the initiative to say hello, but new classmates just respond indifferently.","It's so embarrassing, why is it so difficult to say hello!",No Distortion
1405,"I recently wanted to see Ir graduation photo, but I couldn't find it.","Maybe it was lost, or maybe it can't be found for the time being. It doesn't matter. If you suddenly remember it one day, it will be a surprise.",No Distortion
1406,"I have been in contact with Ir family less often, only sending text messages.","My family and I are not very good at expressing ourselves, and our feelings for each other seem to be rather weak, but we still send messages to show our concern for each other.",No Distortion
1407,"I only have 500 yuan for living expenses per week. Ir classmates are eating all kinds of snacks, but I don’t.","My family must be giving me so little money because I haven’t performed well enough and haven’t studied well enough. If I performed better, I would definitely have more living expenses.",All-or-nothing thinking
